NPA_ID,LOCATION,COUNTRY,TIME_ZONE
778,BRITISH COLUMBIA,CANADA,P
779,IL,US,C
780,ALBERTA,CANADA,M
781,MA,US,E
782,NOVA SCOTIA - PRINCE EDWARD ISLAND,CANADA,A
784,ST. VINCENT & GRENADINES,ST. VINCENT & GRENADINES,A
785,KS,US,CM
786,FL,US,E
787,PR,US,A
800,NANP AREA,,E
801,UT,US,M
802,VT,US,E
803,SC,US,E
804,VA,US,E
805,CA,US,P
806,TX,US,C
807,ONTARIO,CANADA,EC
808,HI,US,(UTC-10)
809,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,A
810,MI,US,E
812,IN,US,EC
813,FL,US,E
814,PA,US,E
815,IL,US,C
816,MO,US,C
817,TX,US,C
818,CA,US,P
819,QUEBEC,CANADA,E
820,CA,US,P
821,SC,US,E
822,,,E
825,ALBERTA,CANADA,M
826,VA,US,E
828,NC,US,E
829,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,E
830,TX,US,C
831,CA,US,P
832,TX,US,C
833,NANP AREA,,E
835,PA,US,E
837,CA,US,P
838,NY,US,E
839,SC,US,E
840,CA,US,P
843,SC,US,E
844,NANP AREA,,E
845,NY,US,E
847,IL,US,C
848,NJ,US,E
849,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,E
850,FL,US,EC
854,SC,US,E
855,NANP AREA,,E
856,NJ,US,E
857,MA,US,E
858,CA,US,P
859,KY,US,E
860,CT,US,E
861,IL,US,C
862,NJ,US,E
863,FL,US,E
864,SC,US,E
865,TN,US,E
866,NANP AREA,,E
867,NORTHWEST TERRITORIES -YUKON - NUNAVUT,CANADA,CMP
868,TRINIDAD & TOBAGO,TRINIDAD & TOBAGO,A
869,ST. KITTS & NEVIS,ST. KITTS & NEVIS,A
870,AR,US,C
872,IL,US,C
873,QUEBEC,CANADA,E
876,JAMAICA,JAMAICA,E
877,NANP AREA,,E
878,PA,US,E
879,NEWFOUNDLAND AND LABRADOR,CANADA,N
888,NANP AREA,,E
900,NANP AREA,,E
901,TN,US,C
902,NOVA SCOTIA - PRINCE EDWARD ISLAND,CANADA,A
903,TX,US,C
904,FL,US,E
905,ONTARIO,CANADA,E
906,MI,US,EC
907,AK,US,AK
908,NJ,US,E
909,CA,US,P
910,NC,US,E
912,GA,US,E
913,KS,US,C
914,NY,US,E
915,TX,US,CM
916,CA,US,P
917,NY,US,E
918,OK,US,C
919,NC,US,E
920,WI,US,C
924,MN,US,C
925,CA,US,P
928,AZ,US,M
929,NY,US,E
930,IN,US,E
931,TN,US,EC
934,NY,US,E
936,TX,US,C
937,OH,US,E
938,AL,US,C
939,PR,US,A
940,TX,US,C
941,FL,US,E
942,ONTARIO,CANADA,E
943,GA,US,E
945,TX,US,C
947,MI,US,E
948,VA,US,E
949,CA,US,P
951,CA,US,P
952,MN,US,C
954,FL,US,E
956,TX,US,C
959,CT,US,E
970,CO,US,M
971,OR,US,P
972,TX,US,C
973,NJ,US,E
975,MO,US,C
978,MA,US,E
979,TX,US,C
980,NC,US,E
983,CO,US,M
984,NC,US,E
985,LA,US,C
986,ID,US,P
989,MI,US,E
